iam_role_name,role_subscriber
role-56,user-2631
role-56,user-3096
role-56,user-2258
role-56,user-702
role-56,user-3608
role-56,user-3704
role-56,user-5105
role-56,user-2477
role-56,user-5759
role-56,user-5931
role-56,user-2966
role-56,user-3611
role-56,user-4121
role-56,user-3930
role-56,user-3281
role-56,user-658
role-56,user-2808
role-56,user-3808
role-56,user-2431
role-56,user-5003
role-56,user-838
role-56,user-1364
role-56,user-4310
role-56,user-4441
role-56,user-5554
role-56,user-2089
role-56,user-1579
role-56,user-2054
role-57,user-1353
role-57,#N/A
role-57,user-1885
role-57,user-2573
role-57,user-1477
role-57,user-989
role-57,user-2133
role-57,user-1167
role-57,user-1573
role-57,user-1921
role-57,user-4759
role-57,user-361
role-57,user-5505
role-57,user-1974
role-57,user-4097
role-57,user-3126
role-57,user-3608
role-57,user-4279
role-57,user-2930
role-57,user-1144
role-57,user-204
role-57,user-3883
role-57,user-1560
role-57,user-2319
role-57,user-1096
role-57,user-5261
role-57,user-3198
role-57,user-3910
role-57,user-240
role-57,user-1634
role-57,user-787
role-57,user-5931
role-57,user-2569
role-57,user-2419
role-57,user-1642
role-57,user-1158
role-57,user-4373
role-57,user-3808
role-57,user-756
role-57,user-183
role-57,user-5295
role-57,user-2879
role-57,user-705
role-57,user-3381
role-57,user-3880
role-57,user-1319
role-57,user-510
role-57,user-4132
role-57,user-2983
role-57,user-2472
role-57,user-3729
role-57,user-2780
role-57,user-838
role-57,user-3328
role-57,user-286
role-57,user-4976
role-57,user-179
role-57,user-773
role-57,user-360
role-57,user-440
role-58,user-1878
role-58,user-1822
role-58,user-1270
role-58,user-703
role-58,user-1517
role-58,user-1074
role-58,user-46
role-58,#N/A
role-58,user-3234
role-58,user-967
role-58,user-2449
role-58,user-1477
role-58,user-4475
role-58,user-3601
role-58,user-2046
role-58,user-1061
role-58,user-2133
role-58,user-1167
role-58,user-1573
role-58,user-614
role-58,user-1937
role-58,user-1286
role-58,user-5485
role-58,user-2874
role-58,user-392
role-58,user-4913
role-58,user-395
role-58,user-859
role-58,user-3608
role-58,user-3604
role-58,user-1456
role-58,user-83
role-58,user-5385
role-58,user-5931
role-58,user-4515
role-58,user-3251
role-58,user-3808
role-58,user-2997
role-58,user-3590
role-58,user-2473
role-58,user-838
role-58,user-4751
role-59,user-2506
role-59,user-3908
role-59,#N/A
role-59,user-3448
role-59,user-5678
role-59,user-1092
role-59,user-3497
role-59,user-1341
role-59,user-3390
role-59,user-1896
role-59,user-2325
role-59,user-4908
role-59,user-5868
role-59,user-4669
role-59,user-2801
role-59,user-3662
role-59,user-2016
role-59,user-2802
role-59,user-3403
role-59,user-3592
role-59,user-1737
role-60,user-2506
role-60,user-3908
role-60,#N/A
role-60,user-1092
role-60,user-3497
role-60,user-4200
role-60,user-2325
role-60,user-4908
role-60,user-5868
role-60,user-4669
role-60,user-2801
role-60,user-143
role-60,user-3009
role-60,user-2016
role-60,user-3403
role-60,user-71
role-61,user-2506
role-61,user-3908
role-61,#N/A
role-61,user-1092
role-61,user-3497
role-61,user-2325
role-61,user-2170
role-61,user-4908
role-61,user-5868
role-61,user-4669
role-61,user-143
role-61,user-2016
role-61,user-3403
role-62,user-2506
role-62,user-3114
role-62,user-3908
role-62,#N/A
role-62,user-3497
role-62,user-1341
role-62,user-3390
role-62,user-2325
role-62,user-2170
role-62,user-5868
role-62,user-4669
role-62,user-2801
role-62,user-143
role-62,user-2016
role-62,user-2802
role-62,user-502
role-62,user-3403
role-62,user-3592
role-63,user-2506
role-63,user-3114
role-63,user-3908
role-63,#N/A
role-63,user-1092
role-63,user-3497
role-63,user-1341
role-63,user-3390
role-63,user-2325
role-63,user-2170
role-63,user-2775
role-63,user-837
role-63,user-2016
role-63,user-2802
role-63,user-3403
role-63,user-177
role-64,user-2506
role-64,user-3114
role-64,user-3908
role-64,#N/A
role-64,user-5678
role-64,user-1092
role-64,user-3497
role-64,user-1341
role-64,user-3390
role-64,user-2325
role-64,user-2170
role-64,user-4908
role-64,user-5868
role-64,user-4669
role-64,user-2801
role-64,user-3662
role-64,user-225
role-64,user-2016
role-64,user-2802
role-64,user-3403
role-64,user-3592
role-64,user-60
role-64,user-1737
role-65,#N/A
role-66,#N/A
role-67,#N/A
role-67,user-5279
role-67,user-2258
role-68,#N/A
role-69,#N/A
role-69,user-7163
role-70,#N/A
role-71,#N/A
role-72,#N/A
role-73,#N/A
role-73,user-5279
role-74,#N/A
role-74,user-4995
role-74,user-1273
role-74,user-5609
role-74,user-4972
role-74,user-5685
role-74,user-5418
role-74,user-4971
role-74,user-6263
role-74,user-2581
role-74,user-5632
role-74,user-4321
role-74,user-623
role-75,#N/A
role-76,#N/A
